gvkey,splticrm,spsdrm,spsticrm,datadate,conm,tic
001045,B-,,,2010-04-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2010-05-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2010-06-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2010-07-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2010-08-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2010-09-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2010-10-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2010-11-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2010-12-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-01-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-02-28,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-03-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-04-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-05-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-06-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-07-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-08-31,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-09-30,AMERICAN AIRLINES GROUP INC,AAL
001045,B-,,,2011-10-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2011-11-30,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2011-12-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-01-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-02-29,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-03-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-04-30,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-05-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-06-30,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-07-31,AMERICAN AIRLINES GROUP INC,AAL
001045,D,,,2012-08-31,AMERICAN AIRLINES GROUP INC,AAL
