Quarter,Companies,Tone,Positive Score,Negative Score,Polarity Score,Activity Reference Density,Self/Group Reference Density,Word Count 
2009Q4,ANF,,,,,,,
2010Q1,ANF,,,,,,,
2010Q2,ANF,,,,,,,
2010Q3,ANF,,,,,,,
2010Q4,ANF,,,,,,,
2011Q1,ANF,,,,,,,
2011Q2,ANF,,,,,,,
2011Q3,ANF,,,,,,,
2011Q4,ANF,,,,,,,
2012Q1,ANF,,,,,,,
2012Q2,ANF,,,,,,,
2012Q3,ANF,,,,,,,
2012Q4,ANF,,,,,,,
2013Q1,ANF,,,,,,,
2013Q2,ANF,,,,,,,
2013Q3,ANF,,,,,,,
2013Q4,ANF,,,,,,,
2014Q1,ANF,,,,,,,
2014Q2,ANF,,,,,,,
2014Q3,ANF,,,,,,,
2014Q4,ANF,,,,,,,
2015Q1,ANF,-0.31326450385860377,2.3924649332734593,2.7057294371320624,5.098194370405522,21.71779185882873,0.41576544655585307,665.3
2015Q2,ANF,-0.34025029491646525,2.7119984680506195,3.0522487629670847,5.764247231017704,22.554035334489097,0.5050186007336099,589.4367816091954
2015Q3,ANF,-0.24986762847842628,2.393845478480457,2.6437131069588835,5.03755858543934,22.576486520335408,0.34562066783967105,590.5683690280066
2015Q4,ANF,0.7338856350677992,2.702930036107583,1.9690444010397838,4.671974437147367,21.924929478057354,0.6094726805899767,645.1913303437967
2016Q1,ANF,-0.02677629410609406,2.642590220841692,2.6693665149477863,5.311956735789478,23.96413978041553,1.2561216353344855,764.887189292543
2016Q2,ANF,-0.13698664425157803,2.387438844873571,2.524425489125149,4.911864333998721,21.47498327626399,0.46512559844799833,672.7459379615952
2016Q3,ANF,-1.656247525227577,1.9909176295144881,3.6471651547420656,5.638082784256554,20.605740395196307,0.42981627061709904,6497.865569272976
2016Q4,ANF,0.052059322114325846,2.459189926420982,2.4071306043066563,4.866320530727639,21.104969122057568,0.46356159360012605,707.1987673343606
2017Q1,ANF,-0.27294476859602024,2.065410664841577,2.3383554334375973,4.403766098279174,20.99903626308983,0.5327821768682336,716.2406504065041
2017Q2,ANF,0.040498421291615225,2.408480395962687,2.3679819746710717,4.776462370633759,21.62106204164693,0.5352474005992485,673.0702127659574
2017Q3,ANF,-0.20223097883832103,2.400235649125359,2.6024666279636803,5.00270227708904,22.534369161353677,0.5316785229759039,637.3760984182777
2017Q4,ANF,0.7682931728890444,2.6406537711891698,1.8723605983001257,4.513014369489296,21.63118024478849,0.5443183681256711,857.9935205183585
2018Q1,ANF,0.4225436412726877,2.3858426326293483,1.96329899135666,4.349141623986009,21.599835420744252,0.5002377691121801,747.7229166666667
2018Q2,ANF,0.3490351138602612,2.2837730826106712,1.93473796875041,4.218511051361081,20.959841021303003,0.6338392593192627,803.3735849056603
2018Q3,ANF,0.6598629435250526,2.546471947523308,1.886609003998256,4.433080951521564,21.131980526173894,0.5337266576133173,724.68156424581
2018Q4,ANF,0.9593967253752519,2.640322685793748,1.6809259604184958,4.3212486462122435,21.673133658685135,0.5144543203965593,658.7490347490348
2019Q1,ANF,1.334727119453406,2.8241387510867417,1.4894116316333352,4.313550382720076,21.812415746134473,0.6131978425513722,747.6958041958042
2019Q2,ANF,1.0739557746737136,3.0019242666656245,1.9279684919919102,4.929892758657535,22.328176867643855,0.673100248222264,752.55
2019Q3,ANF,0.3887700611536325,2.5649252781738907,2.176155217020258,4.741080495194149,21.305212961708246,0.6494201009318958,761.0281690140845
2019Q4,ANF,-0.21280471366094073,2.545322622263166,2.7581273359241067,5.303449958187273,23.795417940474195,1.1026139985268995,827.38
2020Q1,ANF,0.3445432459857211,2.6757239595832183,2.331180713597497,5.006904673180715,21.436142151012813,0.9330383334546519,723.8649789029536
2020Q2,ANF,-0.22407983816455354,2.452370356063401,2.676450194227955,5.1288205502913575,21.794086606619086,0.7098849791995011,601.4206349206349
2020Q3,ANF,-0.0035149084922010934,2.3239761931930456,2.327491101685246,4.651467294878292,22.581148358018154,0.6062919079477644,594.2335766423357
2020Q4,ANF,1.1386263615562862,3.00788849882281,1.8692621372665237,4.877150636089333,22.790314473195746,0.7812208540173323,761.7191011235955
2021Q1,ANF,1.878194301971288,3.562131289183938,1.6839369872126495,5.246068276396587,22.33758320154497,1.0290688360133102,975.7532467532468
2021Q2,ANF,1.2237742226564032,3.1620287398462845,1.9382545171898815,5.100283257036167,21.305420984007366,0.821522255369613,927.7961165048544
2021Q3,ANF,1.6578218342839812,3.571967193133204,1.9141453588492225,5.486112551982426,22.99219288103683,0.7558535510134745,680.7785714285715
2021Q4,ANF,0.8157193717425752,2.9683045426488244,2.152585170906249,5.120889713555074,22.193786368062018,0.6389083153080577,979.0
2022Q1,ANF,1.0408793824375557,2.981981437036094,1.9411020545985382,4.923083491634633,22.604032142943108,0.6057747485581167,666.7978723404256
2022Q2,ANF,0.041998617824331945,2.5021650883649684,2.4601664705406368,4.962331558905605,22.470588622169632,0.8544211725312759,777.3206106870228
2022Q3,ANF,1.2801290753367116,3.4480430566353997,2.1679139812986876,5.615957037934088,22.743308847687214,0.828901236659161,898.7422680412371
2022Q4,ANF,1.3008881043332738,3.1503205009882813,1.8494323966550072,4.999752897643289,22.11625967189622,0.8161958637653045,993.28
2023Q1,ANF,1.8444898730791894,3.7020168751375704,1.857527002058381,5.559543877195951,22.944617076253728,0.7818630197156463,923.9873417721519
2023Q2,ANF,1.035882102705781,2.705572138548066,1.6696900358422853,4.375262174390353,21.71013720988175,0.43677320340389597,780.1506024096385
2023Q3,ANF,1.6346059826909929,3.0632251867874216,1.4286192040964278,4.491844390883848,21.85304176796707,0.6114621516410749,748.2923976608187
2023Q4,ANF,0.2157535456614657,2.998904442256815,2.7831508965953478,5.782055338852163,21.419171934229734,0.8622794460811453,1005.0373563218391
2024Q1,ANF,1.0242280738264216,2.748220100324718,1.7239920264982966,4.472212126823015,20.945854578917196,0.44091135245044744,705.6761133603239
2009Q4,ASO,,,,,,,
2010Q1,ASO,,,,,,,
2010Q2,ASO,,,,,,,
2010Q3,ASO,,,,,,,
2010Q4,ASO,,,,,,,
2011Q1,ASO,,,,,,,
2011Q2,ASO,,,,,,,
2011Q3,ASO,,,,,,,
2011Q4,ASO,,,,,,,
2012Q1,ASO,,,,,,,
2012Q2,ASO,,,,,,,
2012Q3,ASO,,,,,,,
2012Q4,ASO,,,,,,,
2013Q1,ASO,,,,,,,
2013Q2,ASO,,,,,,,
2013Q3,ASO,,,,,,,
2013Q4,ASO,,,,,,,
2014Q1,ASO,,,,,,,
2014Q2,ASO,,,,,,,
2014Q3,ASO,,,,,,,
2014Q4,ASO,,,,,,,
2015Q1,ASO,,,,,,,
2015Q2,ASO,,,,,,,
2015Q3,ASO,,,,,,,
2015Q4,ASO,,,,,,,
2016Q1,ASO,,,,,,,
2016Q2,ASO,,,,,,,
2016Q3,ASO,,,,,,,
2016Q4,ASO,,,,,,,
2017Q1,ASO,,,,,,,
2017Q2,ASO,,,,,,,
2017Q3,ASO,,,,,,,
2017Q4,ASO,,,,,,,
2018Q1,ASO,,,,,,,
2018Q2,ASO,,,,,,,
2018Q3,ASO,,,,,,,
2018Q4,ASO,,,,,,,
2019Q1,ASO,,,,,,,
2019Q2,ASO,,,,,,,
2019Q3,ASO,,,,,,,
2019Q4,ASO,,,,,,,
2020Q1,ASO,,,,,,,
2020Q2,ASO,,,,,,,
2020Q3,ASO,,,,,,,
2020Q4,ASO,,,,,,,
2021Q1,ASO,-0.470219435736677,1.317677062855322,1.787896498592,3.1055735614473203,23.74563873687195,0.0,304.0
2021Q2,ASO,-1.81159420289855,2.89855072463768,4.71014492753623,7.60869565217391,26.8115942028986,0.0,253.0
2021Q3,ASO,,,,,,,
2021Q4,ASO,,,,,,,
2022Q1,ASO,,,,,,,
2022Q2,ASO,,,,,,,
2022Q3,ASO,,,,,,,
2022Q4,ASO,,,,,,,
2023Q1,ASO,,,,,,,
2023Q2,ASO,3.24825986078886,3.94431554524362,0.696055684454756,4.64037122969838,24.3619489559165,0.0,373.0
2023Q3,ASO,-4.10958904109589,1.36986301369863,5.47945205479452,6.84931506849315,17.8082191780822,0.0,64.0
2023Q4,ASO,-3.0517503805175057,2.132800608828005,5.18455098934551,7.317351598173515,17.27739726027395,0.0684931506849315,350.0
2024Q1,ASO,-7.14285714285714,0.0,7.14285714285714,7.14285714285714,12.8571428571429,0.0,60.0
2009Q4,AAP,,,,,,,
2010Q1,AAP,,,,,,,
2010Q2,AAP,,,,,,,
2010Q3,AAP,,,,,,,
2010Q4,AAP,,,,,,,
2011Q1,AAP,,,,,,,
2011Q2,AAP,,,,,,,
2011Q3,AAP,,,,,,,
2011Q4,AAP,,,,,,,
2012Q1,AAP,,,,,,,
2012Q2,AAP,,,,,,,
2012Q3,AAP,,,,,,,
2012Q4,AAP,,,,,,,
2013Q1,AAP,,,,,,,
2013Q2,AAP,,,,,,,
2013Q3,AAP,,,,,,,
2013Q4,AAP,,,,,,,
2014Q1,AAP,,,,,,,
2014Q2,AAP,,,,,,,
2014Q3,AAP,,,,,,,
2014Q4,AAP,,,,,,,
2015Q1,AAP,-3.92156862745098,0.980392156862745,4.90196078431373,5.88235294117647,26.4705882352941,0.0,92.0
2015Q2,AAP,-0.36620583065740675,1.6409660750378083,2.007171905695219,3.6481379807330274,23.98819274175695,0.47163761397994575,491.0
2015Q3,AAP,-1.4779245174718862,1.6196830937092261,3.097607611181112,4.717290704890337,21.304636846584376,0.4656877566541794,622.9615384615385
2015Q4,AAP,0.4459959516140791,1.824044048426877,1.3780480968127982,3.2020921452396753,21.8925330356231,0.39514198204529244,578.3142857142857
2016Q1,AAP,1.0998161316727555,1.7546307133860766,0.6548145817133215,2.409445295099398,21.57439635542064,0.5795624392364014,777.575
2016Q2,AAP,0.8368744551665745,1.9212803965446283,1.0844059413780536,3.005686337922682,21.373471630401074,0.43363703970065076,772.6818181818181
2016Q3,AAP,1.6643013732740881,2.2045125539625374,0.5402111806884494,2.7447237346509876,20.91197918487208,0.4257958290118258,868.6491228070175
2016Q4,AAP,0.9210711041041115,1.8183520487261775,0.8972809446220658,2.7156329933482435,22.45995235526455,0.5024217061603122,850.1388888888889
2017Q1,AAP,1.0358318287970605,2.5591054761305196,1.5232736473334614,4.082379123463981,21.10165710142062,0.5792645637935617,752.6333333333333
2017Q2,AAP,0.403448489772417,1.759390920633929,1.3559424308615122,3.1153333514954418,22.25573941910632,0.32972111827901807,806.7647058823529
2017Q3,AAP,-0.4178810449911412,1.896271161013299,2.3141522060044397,4.210423367017737,21.74431032351645,0.3249963102860896,768.54
2017Q4,AAP,-0.7468037235854812,2.10663891944025,2.8534426430257325,4.960081562465983,21.457021522316854,0.3830513471937587,898.8510638297872
2018Q1,AAP,-2.80583977709974,1.4342541311328911,4.240093908232632,5.674348039365523,19.466561695879527,1.169393707953185,522.0576923076923
2018Q2,AAP,-2.3629496868523723,1.632827350279172,3.9957770371315444,5.628604387410717,20.10774080469162,1.462425629877431,1114.2083333333333
2018Q3,AAP,0.13669659831102124,1.2429145683347649,1.1062179700237456,2.3491325383585098,18.33714739913225,0.23073806897494223,704.25
2018Q4,AAP,0.902201094254858,2.1144684654258494,1.2122673711709933,3.3267358365968436,23.106107577544023,0.30071574199479056,788.7777777777778
2019Q1,AAP,0.48502269919457197,1.5797364577269808,1.094713758532408,2.674450216259389,21.22364574866641,0.301792025550976,891.0
2019Q2,AAP,1.0137601914734262,1.9784409519509218,0.9646807604774968,2.9431217124284164,17.956148718463883,0.2523495968106763,1137.3333333333333
2019Q3,AAP,-2.71893168428659,0.757976430565484,3.476908114852075,4.23488454541756,27.96540721496695,0.835759826571118,671.5
2019Q4,AAP,1.8048049667543804,3.436643154074073,1.6318381873196923,5.068481341393767,25.160706946582668,2.9817002190433315,497.0
2020Q1,AAP,0.4500082655240211,2.792101244804983,2.3420929792809564,5.134194224085938,20.38724177431026,1.245889361920114,368.4
2020Q2,AAP,0.11334575387113152,2.6824093956906827,2.569063641819549,5.251473037510232,24.167826967384414,1.6852513124819697,455.125
2020Q3,AAP,,,,,,,
2020Q4,AAP,,,,,,,
2021Q1,AAP,3.87205387205387,4.04040404040404,0.168350168350168,4.20875420875421,28.2828282828283,1.34680134680135,514.0
2021Q2,AAP,-2.68199233716475,0.383141762452107,3.06513409961686,3.44827586206897,20.6896551724138,0.0,230.0
2021Q3,AAP,,,,,,,
2021Q4,AAP,,,,,,,
2022Q1,AAP,-0.662251655629139,2.31788079470199,2.98013245033113,5.29801324503311,21.523178807947,0.0,273.0
2022Q2,AAP,-0.952380952380952,1.42857142857143,2.38095238095238,3.80952380952381,20.0,0.0,191.0
2022Q3,AAP,-1.4000056000224,3.6000144000576,5.00002000008,8.600034400137606,21.000084000336003,1.0000040000159989,426.0
2022Q4,AAP,-3.96341463414634,1.21951219512195,5.18292682926829,6.40243902439024,22.5609756097561,0.914634146341463,297.0
2023Q1,AAP,,,,,,,
2023Q2,AAP,-1.49006622516556,2.31788079470199,3.80794701986755,6.12582781456954,18.046357615894,0.662251655629139,507.0
2023Q3,AAP,0.714285714285714,2.85714285714286,2.14285714285714,5.0,23.9285714285714,0.357142857142857,256.0
2023Q4,AAP,-3.2241637224846227,1.9866706941575911,5.210834416642217,7.197505110799807,19.912080824595417,1.6364034759655717,351.90909090909093
2024Q1,AAP,-2.55102040816327,1.02040816326531,3.57142857142857,4.59183673469388,18.49489795918365,1.27551020408163,323.0
2009Q4,ACI,,,,,,,
2010Q1,ACI,,,,,,,
2010Q2,ACI,,,,,,,
2010Q3,ACI,,,,,,,
2010Q4,ACI,,,,,,,
2011Q1,ACI,,,,,,,
2011Q2,ACI,,,,,,,
2011Q3,ACI,,,,,,,
2011Q4,ACI,,,,,,,
2012Q1,ACI,,,,,,,
2012Q2,ACI,,,,,,,
2012Q3,ACI,,,,,,,
2012Q4,ACI,,,,,,,
2013Q1,ACI,,,,,,,
2013Q2,ACI,,,,,,,
2013Q3,ACI,,,,,,,
