INFO:root:Epoch 0: Train Loss: 3.180, Train Accuracy: 0.041, Test Loss: 2.974, Test Accuracy: 0.138
INFO:root:Epoch 1: Train Loss: 2.964, Train Accuracy: 0.162, Test Loss: 2.897, Test Accuracy: 0.140
INFO:root:Epoch 2: Train Loss: 2.820, Train Accuracy: 0.229, Test Loss: 2.837, Test Accuracy: 0.107
INFO:root:Epoch 3: Train Loss: 2.704, Train Accuracy: 0.239, Test Loss: 2.832, Test Accuracy: 0.090
INFO:root:Epoch 4: Train Loss: 2.600, Train Accuracy: 0.243, Test Loss: 2.760, Test Accuracy: 0.089
INFO:root:Epoch 5: Train Loss: 2.522, Train Accuracy: 0.241, Test Loss: 2.717, Test Accuracy: 0.089
INFO:root:Epoch 6: Train Loss: 2.460, Train Accuracy: 0.250, Test Loss: 2.745, Test Accuracy: 0.089
INFO:root:Epoch 7: Train Loss: 2.412, Train Accuracy: 0.251, Test Loss: 2.801, Test Accuracy: 0.089
INFO:root:Epoch 8: Train Loss: 2.375, Train Accuracy: 0.250, Test Loss: 2.694, Test Accuracy: 0.089
INFO:root:Epoch 9: Train Loss: 2.336, Train Accuracy: 0.252, Test Loss: 2.795, Test Accuracy: 0.089
INFO:root:Epoch 10: Train Loss: 2.312, Train Accuracy: 0.249, Test Loss: 2.972, Test Accuracy: 0.089
INFO:root:Epoch 11: Train Loss: 2.296, Train Accuracy: 0.250, Test Loss: 3.133, Test Accuracy: 0.089
INFO:root:Epoch 12: Train Loss: 2.272, Train Accuracy: 0.255, Test Loss: 3.075, Test Accuracy: 0.089
INFO:root:Epoch 13: Train Loss: 2.265, Train Accuracy: 0.254, Test Loss: 2.828, Test Accuracy: 0.089
INFO:root:Epoch 14: Train Loss: 2.238, Train Accuracy: 0.262, Test Loss: 2.852, Test Accuracy: 0.089
INFO:root:Epoch 15: Train Loss: 2.214, Train Accuracy: 0.267, Test Loss: 2.746, Test Accuracy: 0.089
INFO:root:Epoch 16: Train Loss: 2.201, Train Accuracy: 0.267, Test Loss: 2.725, Test Accuracy: 0.089
INFO:root:Epoch 17: Train Loss: 2.184, Train Accuracy: 0.267, Test Loss: 2.743, Test Accuracy: 0.089
INFO:root:Epoch 18: Train Loss: 2.192, Train Accuracy: 0.262, Test Loss: 3.140, Test Accuracy: 0.091
INFO:root:Epoch 19: Train Loss: 2.190, Train Accuracy: 0.266, Test Loss: 3.316, Test Accuracy: 0.088
INFO:root:Epoch 20: Train Loss: 2.168, Train Accuracy: 0.273, Test Loss: 2.992, Test Accuracy: 0.088
INFO:root:Epoch 21: Train Loss: 2.142, Train Accuracy: 0.277, Test Loss: 2.811, Test Accuracy: 0.090
INFO:root:Epoch 22: Train Loss: 2.133, Train Accuracy: 0.264, Test Loss: 2.769, Test Accuracy: 0.090
INFO:root:Epoch 23: Train Loss: 2.131, Train Accuracy: 0.263, Test Loss: 2.746, Test Accuracy: 0.091
INFO:root:Epoch 24: Train Loss: 2.107, Train Accuracy: 0.278, Test Loss: 3.270, Test Accuracy: 0.090
INFO:root:Epoch 25: Train Loss: 2.104, Train Accuracy: 0.287, Test Loss: 2.954, Test Accuracy: 0.090
INFO:root:Epoch 26: Train Loss: 2.100, Train Accuracy: 0.287, Test Loss: 2.937, Test Accuracy: 0.091
INFO:root:Epoch 27: Train Loss: 2.094, Train Accuracy: 0.291, Test Loss: 3.045, Test Accuracy: 0.088
INFO:root:Epoch 28: Train Loss: 2.101, Train Accuracy: 0.286, Test Loss: 2.798, Test Accuracy: 0.089
INFO:root:Epoch 29: Train Loss: 2.091, Train Accuracy: 0.282, Test Loss: 2.946, Test Accuracy: 0.089
INFO:root:Epoch 30: Train Loss: 2.077, Train Accuracy: 0.287, Test Loss: 3.219, Test Accuracy: 0.094
INFO:root:Epoch 31: Train Loss: 2.080, Train Accuracy: 0.299, Test Loss: 2.744, Test Accuracy: 0.103
INFO:root:Epoch 32: Train Loss: 2.058, Train Accuracy: 0.308, Test Loss: 2.859, Test Accuracy: 0.092
INFO:root:Epoch 33: Train Loss: 2.046, Train Accuracy: 0.301, Test Loss: 2.935, Test Accuracy: 0.092
INFO:root:Epoch 34: Train Loss: 2.038, Train Accuracy: 0.309, Test Loss: 2.813, Test Accuracy: 0.094
INFO:root:Epoch 35: Train Loss: 2.041, Train Accuracy: 0.298, Test Loss: 3.312, Test Accuracy: 0.092
INFO:root:Epoch 36: Train Loss: 2.023, Train Accuracy: 0.316, Test Loss: 2.734, Test Accuracy: 0.104
INFO:root:Epoch 37: Train Loss: 2.019, Train Accuracy: 0.316, Test Loss: 2.964, Test Accuracy: 0.095
INFO:root:Epoch 38: Train Loss: 2.013, Train Accuracy: 0.331, Test Loss: 2.760, Test Accuracy: 0.095
INFO:root:Epoch 39: Train Loss: 1.996, Train Accuracy: 0.334, Test Loss: 2.929, Test Accuracy: 0.095
INFO:root:Epoch 40: Train Loss: 1.974, Train Accuracy: 0.348, Test Loss: 3.183, Test Accuracy: 0.092
INFO:root:Epoch 41: Train Loss: 1.979, Train Accuracy: 0.321, Test Loss: 2.693, Test Accuracy: 0.092
INFO:root:Epoch 42: Train Loss: 1.975, Train Accuracy: 0.308, Test Loss: 2.750, Test Accuracy: 0.100
INFO:root:Epoch 43: Train Loss: 1.965, Train Accuracy: 0.311, Test Loss: 2.716, Test Accuracy: 0.098
INFO:root:Epoch 44: Train Loss: 1.966, Train Accuracy: 0.317, Test Loss: 2.695, Test Accuracy: 0.097
INFO:root:Epoch 45: Train Loss: 1.971, Train Accuracy: 0.325, Test Loss: 2.668, Test Accuracy: 0.084
INFO:root:Epoch 46: Train Loss: 1.990, Train Accuracy: 0.309, Test Loss: 2.741, Test Accuracy: 0.086
INFO:root:Epoch 47: Train Loss: 1.981, Train Accuracy: 0.323, Test Loss: 3.054, Test Accuracy: 0.084
INFO:root:Epoch 48: Train Loss: 1.965, Train Accuracy: 0.316, Test Loss: 2.844, Test Accuracy: 0.088
INFO:root:Epoch 49: Train Loss: 1.942, Train Accuracy: 0.321, Test Loss: 2.714, Test Accuracy: 0.084
INFO:root:Epoch 50: Train Loss: 1.927, Train Accuracy: 0.316, Test Loss: 2.871, Test Accuracy: 0.106
INFO:root:Epoch 51: Train Loss: 1.938, Train Accuracy: 0.321, Test Loss: 2.896, Test Accuracy: 0.108
