INFO:root:Epoch 0: Train Loss: 52.402, Train Accuracy: 0.003, Test Loss: 57.404, Test Accuracy: 0.000
INFO:root:Epoch 1: Train Loss: 30.206, Train Accuracy: 0.097, Test Loss: 38.537, Test Accuracy: 0.016
INFO:root:Epoch 2: Train Loss: 18.890, Train Accuracy: 0.084, Test Loss: 25.972, Test Accuracy: 0.036
INFO:root:Epoch 3: Train Loss: 12.391, Train Accuracy: 0.048, Test Loss: 18.747, Test Accuracy: 0.131
INFO:root:Epoch 4: Train Loss: 9.263, Train Accuracy: 0.157, Test Loss: 15.426, Test Accuracy: 0.090
INFO:root:Epoch 5: Train Loss: 8.964, Train Accuracy: 0.226, Test Loss: 14.089, Test Accuracy: 0.090
INFO:root:Epoch 6: Train Loss: 9.283, Train Accuracy: 0.195, Test Loss: 13.666, Test Accuracy: 0.023
INFO:root:Epoch 7: Train Loss: 9.429, Train Accuracy: 0.139, Test Loss: 13.648, Test Accuracy: 0.023
INFO:root:Epoch 8: Train Loss: 9.295, Train Accuracy: 0.138, Test Loss: 13.971, Test Accuracy: 0.090
INFO:root:Epoch 9: Train Loss: 9.168, Train Accuracy: 0.226, Test Loss: 14.574, Test Accuracy: 0.090
INFO:root:Epoch 10: Train Loss: 8.993, Train Accuracy: 0.226, Test Loss: 14.936, Test Accuracy: 0.090
INFO:root:Epoch 11: Train Loss: 9.094, Train Accuracy: 0.226, Test Loss: 15.406, Test Accuracy: 0.090
INFO:root:Epoch 12: Train Loss: 9.062, Train Accuracy: 0.225, Test Loss: 15.193, Test Accuracy: 0.090
INFO:root:Epoch 13: Train Loss: 9.029, Train Accuracy: 0.226, Test Loss: 15.106, Test Accuracy: 0.090
INFO:root:Epoch 14: Train Loss: 9.023, Train Accuracy: 0.226, Test Loss: 14.997, Test Accuracy: 0.090
INFO:root:Epoch 15: Train Loss: 9.030, Train Accuracy: 0.226, Test Loss: 14.881, Test Accuracy: 0.090
INFO:root:Epoch 16: Train Loss: 9.024, Train Accuracy: 0.226, Test Loss: 14.849, Test Accuracy: 0.090
INFO:root:Epoch 17: Train Loss: 9.021, Train Accuracy: 0.226, Test Loss: 14.914, Test Accuracy: 0.090
INFO:root:Epoch 18: Train Loss: 9.032, Train Accuracy: 0.226, Test Loss: 15.103, Test Accuracy: 0.090
INFO:root:Epoch 19: Train Loss: 9.034, Train Accuracy: 0.226, Test Loss: 15.112, Test Accuracy: 0.090
INFO:root:Epoch 20: Train Loss: 9.073, Train Accuracy: 0.226, Test Loss: 14.870, Test Accuracy: 0.090
INFO:root:Epoch 21: Train Loss: 9.033, Train Accuracy: 0.226, Test Loss: 15.029, Test Accuracy: 0.090
INFO:root:Epoch 22: Train Loss: 9.011, Train Accuracy: 0.226, Test Loss: 15.040, Test Accuracy: 0.090
INFO:root:Epoch 23: Train Loss: 9.023, Train Accuracy: 0.226, Test Loss: 14.924, Test Accuracy: 0.090
INFO:root:Epoch 24: Train Loss: 9.045, Train Accuracy: 0.226, Test Loss: 15.104, Test Accuracy: 0.090
INFO:root:Epoch 25: Train Loss: 9.043, Train Accuracy: 0.226, Test Loss: 15.042, Test Accuracy: 0.090
INFO:root:Epoch 26: Train Loss: 9.017, Train Accuracy: 0.226, Test Loss: 14.956, Test Accuracy: 0.090
INFO:root:Epoch 27: Train Loss: 9.022, Train Accuracy: 0.226, Test Loss: 14.877, Test Accuracy: 0.090
INFO:root:Epoch 28: Train Loss: 9.063, Train Accuracy: 0.226, Test Loss: 14.640, Test Accuracy: 0.090
