INFO:root:Epoch 0: Train Loss: 3.023, Train Accuracy: 0.101, Test Loss: 2.920, Test Accuracy: 0.150
INFO:root:Epoch 1: Train Loss: 2.956, Train Accuracy: 0.137, Test Loss: 2.893, Test Accuracy: 0.130
INFO:root:Epoch 2: Train Loss: 2.870, Train Accuracy: 0.226, Test Loss: 2.843, Test Accuracy: 0.240
INFO:root:Epoch 3: Train Loss: 2.811, Train Accuracy: 0.194, Test Loss: 2.827, Test Accuracy: 0.240
INFO:root:Epoch 4: Train Loss: 2.759, Train Accuracy: 0.198, Test Loss: 2.785, Test Accuracy: 0.240
INFO:root:Epoch 5: Train Loss: 2.697, Train Accuracy: 0.272, Test Loss: 2.744, Test Accuracy: 0.240
INFO:root:Epoch 6: Train Loss: 2.635, Train Accuracy: 0.226, Test Loss: 2.687, Test Accuracy: 0.240
INFO:root:Epoch 7: Train Loss: 2.600, Train Accuracy: 0.223, Test Loss: 2.636, Test Accuracy: 0.240
INFO:root:Epoch 8: Train Loss: 2.523, Train Accuracy: 0.225, Test Loss: 2.601, Test Accuracy: 0.240
INFO:root:Epoch 9: Train Loss: 2.501, Train Accuracy: 0.243, Test Loss: 2.547, Test Accuracy: 0.240
INFO:root:Epoch 10: Train Loss: 2.478, Train Accuracy: 0.272, Test Loss: 2.490, Test Accuracy: 0.240
INFO:root:Epoch 11: Train Loss: 2.392, Train Accuracy: 0.311, Test Loss: 2.403, Test Accuracy: 0.240
INFO:root:Epoch 12: Train Loss: 2.352, Train Accuracy: 0.297, Test Loss: 2.322, Test Accuracy: 0.250
INFO:root:Epoch 13: Train Loss: 2.307, Train Accuracy: 0.332, Test Loss: 2.273, Test Accuracy: 0.340
INFO:root:Epoch 14: Train Loss: 2.278, Train Accuracy: 0.362, Test Loss: 2.324, Test Accuracy: 0.240
INFO:root:Epoch 15: Train Loss: 2.283, Train Accuracy: 0.342, Test Loss: 2.296, Test Accuracy: 0.330
INFO:root:Epoch 16: Train Loss: 2.219, Train Accuracy: 0.398, Test Loss: 2.319, Test Accuracy: 0.240
INFO:root:Epoch 17: Train Loss: 2.193, Train Accuracy: 0.378, Test Loss: 2.317, Test Accuracy: 0.250
INFO:root:Epoch 18: Train Loss: 2.253, Train Accuracy: 0.298, Test Loss: 2.323, Test Accuracy: 0.260
INFO:root:Epoch 19: Train Loss: 2.196, Train Accuracy: 0.340, Test Loss: 2.314, Test Accuracy: 0.240
INFO:root:Epoch 20: Train Loss: 2.175, Train Accuracy: 0.348, Test Loss: 2.302, Test Accuracy: 0.220
INFO:root:Epoch 21: Train Loss: 2.167, Train Accuracy: 0.342, Test Loss: 2.282, Test Accuracy: 0.240
INFO:root:Epoch 22: Train Loss: 2.143, Train Accuracy: 0.317, Test Loss: 2.243, Test Accuracy: 0.230
INFO:root:Epoch 23: Train Loss: 2.116, Train Accuracy: 0.319, Test Loss: 2.194, Test Accuracy: 0.240
INFO:root:Epoch 24: Train Loss: 2.096, Train Accuracy: 0.360, Test Loss: 2.153, Test Accuracy: 0.340
INFO:root:Epoch 25: Train Loss: 2.090, Train Accuracy: 0.432, Test Loss: 2.127, Test Accuracy: 0.350
INFO:root:Epoch 26: Train Loss: 2.096, Train Accuracy: 0.385, Test Loss: 2.127, Test Accuracy: 0.350
INFO:root:Epoch 27: Train Loss: 2.043, Train Accuracy: 0.457, Test Loss: 2.118, Test Accuracy: 0.380
INFO:root:Epoch 28: Train Loss: 2.072, Train Accuracy: 0.431, Test Loss: 2.084, Test Accuracy: 0.410
INFO:root:Epoch 29: Train Loss: 2.039, Train Accuracy: 0.473, Test Loss: 2.045, Test Accuracy: 0.400
INFO:root:Epoch 30: Train Loss: 1.991, Train Accuracy: 0.477, Test Loss: 2.029, Test Accuracy: 0.390
INFO:root:Epoch 31: Train Loss: 1.970, Train Accuracy: 0.504, Test Loss: 2.057, Test Accuracy: 0.390
INFO:root:Epoch 32: Train Loss: 1.957, Train Accuracy: 0.476, Test Loss: 2.039, Test Accuracy: 0.380
INFO:root:Epoch 33: Train Loss: 1.996, Train Accuracy: 0.468, Test Loss: 2.033, Test Accuracy: 0.370
INFO:root:Epoch 34: Train Loss: 2.008, Train Accuracy: 0.432, Test Loss: 1.955, Test Accuracy: 0.550
INFO:root:Epoch 35: Train Loss: 1.955, Train Accuracy: 0.501, Test Loss: 1.951, Test Accuracy: 0.570
INFO:root:Epoch 36: Train Loss: 1.922, Train Accuracy: 0.515, Test Loss: 1.948, Test Accuracy: 0.580
INFO:root:Epoch 37: Train Loss: 1.894, Train Accuracy: 0.524, Test Loss: 1.928, Test Accuracy: 0.600
INFO:root:Epoch 38: Train Loss: 1.886, Train Accuracy: 0.536, Test Loss: 1.917, Test Accuracy: 0.590
INFO:root:Epoch 39: Train Loss: 1.884, Train Accuracy: 0.510, Test Loss: 1.903, Test Accuracy: 0.600
INFO:root:Epoch 40: Train Loss: 1.859, Train Accuracy: 0.537, Test Loss: 1.893, Test Accuracy: 0.590
INFO:root:Epoch 41: Train Loss: 1.826, Train Accuracy: 0.561, Test Loss: 1.871, Test Accuracy: 0.660
INFO:root:Epoch 42: Train Loss: 1.808, Train Accuracy: 0.575, Test Loss: 1.845, Test Accuracy: 0.810
INFO:root:Epoch 43: Train Loss: 1.822, Train Accuracy: 0.592, Test Loss: 1.835, Test Accuracy: 0.810
INFO:root:Epoch 44: Train Loss: 1.859, Train Accuracy: 0.563, Test Loss: 1.811, Test Accuracy: 0.810
INFO:root:Epoch 45: Train Loss: 1.789, Train Accuracy: 0.591, Test Loss: 1.804, Test Accuracy: 0.810
INFO:root:Epoch 46: Train Loss: 1.782, Train Accuracy: 0.595, Test Loss: 1.802, Test Accuracy: 0.710
INFO:root:Epoch 47: Train Loss: 1.826, Train Accuracy: 0.539, Test Loss: 1.801, Test Accuracy: 0.790
INFO:root:Epoch 48: Train Loss: 1.745, Train Accuracy: 0.605, Test Loss: 1.762, Test Accuracy: 0.800
INFO:root:Epoch 49: Train Loss: 1.805, Train Accuracy: 0.534, Test Loss: 1.769, Test Accuracy: 0.790
INFO:root:Epoch 50: Train Loss: 1.758, Train Accuracy: 0.559, Test Loss: 1.759, Test Accuracy: 0.700
INFO:root:Epoch 51: Train Loss: 1.797, Train Accuracy: 0.545, Test Loss: 1.819, Test Accuracy: 0.730
INFO:root:Epoch 52: Train Loss: 1.842, Train Accuracy: 0.557, Test Loss: 1.826, Test Accuracy: 0.820
INFO:root:Epoch 53: Train Loss: 1.840, Train Accuracy: 0.580, Test Loss: 1.804, Test Accuracy: 0.860
INFO:root:Epoch 54: Train Loss: 1.808, Train Accuracy: 0.604, Test Loss: 1.788, Test Accuracy: 0.840
INFO:root:Epoch 55: Train Loss: 1.821, Train Accuracy: 0.552, Test Loss: 1.800, Test Accuracy: 0.720
INFO:root:Epoch 56: Train Loss: 1.854, Train Accuracy: 0.525, Test Loss: 1.789, Test Accuracy: 0.720
INFO:root:Epoch 57: Train Loss: 1.737, Train Accuracy: 0.598, Test Loss: 1.759, Test Accuracy: 0.720
INFO:root:Epoch 58: Train Loss: 1.771, Train Accuracy: 0.562, Test Loss: 1.733, Test Accuracy: 0.740
